,sourceid,title_csv,type,issn,sjr,sjr best quartile,h index,total docs. (2020),total docs. (3years),total refs.,total cites (3years),citable docs. (3years),cites / doc. (2years),ref. / doc.,country,region,publisher,coverage,categories,total cites,journal impact factor,eigenfactor score,abstract,doi,year,author,title_bib,type_publication
10,130050,OCULAR SURFACE,journal,15420124,"3,505",Q1,65,120,234,5895,1932,204,"3,81","49,13",United States,Northern America,Elsevier Inc.,2003-2020,Ophthalmology (Q1),"4,145",5.033,0.00623,,https://doi.org/10.1016/j.jtos.2019.07.010,2019,C.J. Puranik and Sreenivasa Rao and S. Chennamaneni,THE PERILS AND PITFALLS OF BIG DATA ANALYSIS IN MEDICINE,article
11,16547,TOURISM MANAGEMENT,journal,02615177,"3,328",Q1,199,159,690,11910,8354,687,"11,06","74,91",United Kingdom,Western Europe,Elsevier Ltd.,1982-2021,"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)","37,117",10.967,0.02226,"Even at an early stage, diverse big data have been applied to tourism research and made an amazing improvement. This paper might be the first attempt to present a comprehensive literature review on different types of big data in tourism research. By data sources, the tourism-related big data fall into three primary categories: UGC data (generated by users), including online textual data and online photo data; device data (by devices), including GPS data, mobile roaming data, Bluetooth data, etc.; transaction data (by operations), including web search data, webpage visiting data, online booking data, etc. Carrying different information, different data types address different tourism issues. For each type, a systematical analysis is conducted from the perspectives of research focuses, data characteristics, analytic techniques, major challenges and further directions. This survey facilitates a thorough understanding of this sunrise research and offers valuable insights into its future prospects.",https://doi.org/10.1016/j.tourman.2018.03.009,2018,Jingjing Li and Lizhi Xu and Ling Tang and Shouyang Wang and Ling Li,BIG DATA IN TOURISM RESEARCH: A LITERATURE REVIEW,article
12,17495,NEUROIMAGE,journal,10538119,"3,259",Q1,364,981,2802,73619,20526,2767,"6,82","75,04",United States,Northern America,Academic Press Inc.,"1970, 1992-2020",Cognitive Neuroscience (Q1); Neurology (Q1),"119,618",6.556,0.10582,"We analyzed factors that may hamper the advancement of computational cognitive neuroscience (CCN). These factors include a particular statistical mindset, which paves the way for the dominance of statistical power theory and a preoccupation with statistical replicability in the behavioral and neural sciences. Exclusive statistical concerns about sampling error occur at the cost of an inadequate representation of the problem of measurement error. We contrasted the manipulation of data quantity (sampling error, by varying the number of subjects) against the manipulation of data quality (measurement error, by varying the number of data per subject) in a simulated Bayesian model identifiability study. The results were clear-cut in showing that - across all levels of signal-to-noise ratios - varying the number of subjects was completely inconsequential, whereas the number of data per subject exerted massive effects on model identifiability. These results emphasize data quality over data quantity, and they call for the integration of statistics and measurement theory.",https://doi.org/10.1016/j.neuroimage.2018.01.005,2018,Antonio Kolossa and Bruno Kopp,DATA QUALITY OVER DATA QUANTITY IN COMPUTATIONAL COGNITIVE NEUROSCIENCE,article
13,17495,NEUROIMAGE,journal,10538119,"3,259",Q1,364,981,2802,73619,20526,2767,"6,82","75,04",United States,Northern America,Academic Press Inc.,"1970, 1992-2020",Cognitive Neuroscience (Q1); Neurology (Q1),"119,618",6.556,0.10582,"Brain activity is a dynamic combination of the responses to sensory inputs and its own spontaneous processing. Consequently, such brain activity is continuously changing whether or not one is focusing on an externally imposed task. Previously, we have introduced an analysis method that allows us, using Hidden Markov Models (HMM), to model task or rest brain activity as a dynamic sequence of distinct brain networks, overcoming many of the limitations posed by sliding window approaches. Here, we present an advance that enables the HMM to handle very large amounts of data, making possible the inference of very reproducible and interpretable dynamic brain networks in a range of different datasets, including task, rest, MEG and fMRI, with potentially thousands of subjects. We anticipate that the generation of large and publicly available datasets from initiatives such as the Human Connectome Project and UK Biobank, in combination with computational methods that can work at this scale, will bring a breakthrough in our understanding of brain function in both health and disease.",https://doi.org/10.1016/j.neuroimage.2017.06.077,2018,Diego Vidaurre and Romesh Abeysuriya and Robert Becker and Andrew J. Quinn and Fidel Alfaro-Almagro and Stephen M. Smith and Mark W. Woolrich,DISCOVERING DYNAMIC BRAIN NETWORKS FROM BIG DATA IN REST AND TASK,article
14,16146,TRENDS IN BIOTECHNOLOGY,journal,01677799,"3,192",Q1,219,167,397,11206,4561,346,"11,86","67,10",United Kingdom,Western Europe,Elsevier Ltd.,1983-2020,Bioengineering (Q1); Biotechnology (Q1),"20,693",19.536,0.01817,"Batch effects (BEs) are technical biases that may confound analysis of high-throughput biotechnological data. BEs are complex and effective mitigation is highly context-dependent. In particular, the advent of high-resolution technologies such as single-cell RNA sequencing presents new challenges. We first cover how BE modeling differs between traditional datasets and the new data landscape. We also discuss new approaches for measuring and mitigating BEs, including whether a BE is significant enough to warrant correction. Even with the advent of machine learning and artificial intelligence, the increased complexity of next-generation biotechnological data means increased complexities in BE management. We forecast that BEs will not only remain relevant in the age of big data but will become even more important.",https://doi.org/10.1016/j.tibtech.2022.02.005,2022,Wilson Wen Bin Goh and Chern Han Yong and Limsoon Wong,ARE BATCH EFFECTS STILL RELEVANT IN THE AGE OF BIG DATA?,article
15,22990,JOURNAL OF RETAILING,journal,00224359,"3,184",Q1,136,66,98,4311,839,87,"4,51","65,32",United Kingdom,Western Europe,Elsevier BV,1993-2020,Marketing (Q1),"10,594",5.245,0.00458,"The paper examines the opportunities in and possibilities arising from big data in retailing, particularly along five major data dimensions—data pertaining to customers, products, time, (geo-spatial) location and channel. Much of the increase in data quality and application possibilities comes from a mix of new data sources, a smart application of statistical tools and domain knowledge combined with theoretical insights. The importance of theory in guiding any systematic search for answers to retailing questions, as well as for streamlining analysis remains undiminished, even as the role of big data and predictive analytics in retailing is set to rise in importance, aided by newer sources of data and large-scale correlational techniques. The Statistical issues discussed include a particular focus on the relevance and uses of Bayesian analysis techniques (data borrowing, updating, augmentation and hierarchical modeling), predictive analytics using big data and a field experiment, all in a retailing context. Finally, the ethical and privacy issues that may arise from the use of big data in retailing are also highlighted.",https://doi.org/10.1016/j.jretai.2016.12.004,2017,Eric T. Bradlow and Manish Gangwar and Praveen Kopalle and Sudhir Voleti,THE ROLE OF BIG DATA AND PREDICTIVE ANALYTICS IN RETAILING,article
16,12396,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,journal,09638687,"3,133",Q1,88,24,75,2111,965,61,"12,45","87,96",Netherlands,Western Europe,Elsevier,1991-2020,Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),"2,945",11.022,0.00233,"Big data has been considered to be a breakthrough technological development over recent years. Notwithstanding, we have as yet limited understanding of how organizations translate its potential into actual social and economic value. We conduct an in-depth systematic review of IS literature on the topic and identify six debates central to how organizations realize value from big data, at different levels of analysis. Based on this review, we identify two socio-technical features of big data that influence value realization: portability and interconnectivity. We argue that, in practice, organizations need to continuously realign work practices, organizational models, and stakeholder interests in order to reap the benefits from big data. We synthesize the findings by means of an integrated model.",https://doi.org/10.1016/j.jsis.2017.07.003,2017,Wendy Arianne Günther and Mohammad H. {Rezazade Mehrizi} and Marleen Huysman and Frans Feldberg,DEBATING BIG DATA: A LITERATURE REVIEW ON REALIZING VALUE FROM BIG DATA,article
17,12396,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,journal,09638687,"3,133",Q1,88,24,75,2111,965,61,"12,45","87,96",Netherlands,Western Europe,Elsevier,1991-2020,Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),"2,945",11.022,0.00233,"In common with much contemporary discourse around big data, recent discussion of datafication in the Journal of Strategic Information Systems has focused on its effects on individuals, organisations and society. Generally missing from such analysis, however, is any consideration of data themselves. What is it that is having these effects? In this Viewpoint article I therefore present a critical analysis of a number of widely-held assumptions about data in general and big data in particular. Rather than being a referential, natural, foundational, objective and equal representation of the world, it will be argued, data are partial and contingent and are brought into being through situated practices of conceptualization, recording and use. Big data are also not as revolutionary voluminous, universal or exhaustive as they are often presented. Some initial implications of this reconceptualization of data are explored. A distinction is made between “data in principle” as they are recorded, and the “data in practice” as they are used. It is only the latter, typically a small and not necessarily representative subset of the former, that will contribute directly to the effects of datafication.",https://doi.org/10.1016/j.jsis.2018.10.005,2019,Matthew Jones,WHAT WE TALK ABOUT WHEN WE TALK ABOUT (BIG) DATA,article
18,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"Data visualization is a key tool in data mining for understanding big datasets. Many visualization methods have been proposed, including the well-regarded state-of-the-art method t-distributed stochastic neighbor embedding. However, the most powerful visualization methods have a significant limitation: the manner in which they create their visualization from the original features of the dataset is completely opaque. Many domains require an understanding of the data in terms of the original features; there is hence a need for powerful visualization methods which use understandable models. In this article, we propose a genetic programming (GP) approach called GP-tSNE for evolving interpretable mappings from the dataset to high-quality visualizations. A multiobjective approach is designed that produces a variety of visualizations in a single run which gives different tradeoffs between visual quality and model complexity. Testing against baseline methods on a variety of datasets shows the clear potential of GP-tSNE to allow deeper insight into data than that provided by existing visualization methods. We further highlight the benefits of a multiobjective approach through an in-depth analysis of a candidate front, which shows how multiple models can be analyzed jointly to give increased insight into the dataset.",10.1109/TCYB.2020.2970198,2021,,GENETIC PROGRAMMING FOR EVOLVING A FRONT OF INTERPRETABLE MODELS FOR DATA VISUALIZATION,
19,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"Generating highly accurate predictions for missing quality-of-service (QoS) data is an important issue. Latent factor (LF)-based QoS-predictors have proven to be effective in dealing with it. However, they are based on first-order solvers that cannot well address their target problem that is inherently bilinear and nonconvex, thereby leaving a significant opportunity for accuracy improvement. This paper proposes to incorporate an efficient second-order solver into them to raise their accuracy. To do so, we adopt the principle of Hessian-free optimization and successfully avoid the direct manipulation of a Hessian matrix, by employing the efficiently obtainable product between its Gauss-Newton approximation and an arbitrary vector. Thus, the second-order information is innovatively integrated into them. Experimental results on two industrial QoS datasets indicate that compared with the state-of-the-art predictors, the newly proposed one achieves significantly higher prediction accuracy at the expense of affordable computational burden. Hence, it is especially suitable for industrial applications requiring high prediction accuracy of unknown QoS data.",10.1109/TCYB.2017.2685521,2018,,INCORPORATION OF EFFICIENT SECOND-ORDER SOLVERS INTO LATENT FACTOR MODELS FOR ACCURATE PREDICTION OF MISSING QOS DATA,
20,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"Dunn's internal cluster validity index is used to assess partition quality and subsequently identify a “best” crisp partition of n objects. Computing Dunn's index (DI) for partitions of n p-dimensional feature vector data has quadratic time complexity O(pn2), so its computation is impractical for very large values of n. This note presents six methods for approximating DI. Four methods are based on Maximin sampling, which identifies a skeleton of the full partition that contains some boundary points in each cluster. Two additional methods are presented that estimate boundary points associated with unsupervised training of one class support vector machines. Numerical examples compare approximations to DI based on all six methods. Four experiments on seven real and synthetic data sets support our assertion that computing approximations to DI with an incremental, neighborhood-based Maximin skeleton is both tractable and reliably accurate.",10.1109/TCYB.2018.2806886,2019,,APPROXIMATING DUNN’S CLUSTER VALIDITY INDICES FOR PARTITIONS OF BIG DATA,
21,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"Quality-of-service (QoS) data vary over time, making it vital to capture the temporal patterns hidden in such dynamic data for predicting missing ones with high accuracy. However, currently latent factor (LF) analysis-based QoS-predictors are mostly defined on static QoS data without the consideration of such temporal dynamics. To address this issue, this paper presents a biased non-negative latent factorization of tensors (BNLFTs) model for temporal pattern-aware QoS prediction. Its main idea is fourfold: 1) incorporating linear biases into the model for describing QoS fluctuations; 2) constraining the model to be non-negative for describing QoS non-negativity; 3) deducing a single LF-dependent, non-negative, and multiplicative update scheme for training the model; and 4) incorporating an alternating direction method into the model for faster convergence. The empirical studies on two dynamic QoS datasets from real applications show that compared with the state-of-the-art QoS-predictors, BNLFT represents temporal patterns more precisely with high computational efficiency, thereby achieving the most accurate predictions for missing QoS data.",10.1109/TCYB.2019.2903736,2020,,TEMPORAL PATTERN-AWARE QOS PREDICTION VIA BIASED NON-NEGATIVE LATENT FACTORIZATION OF TENSORS,
22,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"With the rapid development of services computing in the past decade, Quality-of-Service (QoS)-aware selection of Web services has become a hot yet thorny issue. Conducting warming-up tests on a large set of candidate services for QoS evaluation is time consuming and expensive, making it vital to implement accurate QoS-estimators. Existing QoS-estimators barely consider the temporal patterns hidden in QoS data. However, such data are naturally time dependent. For addressing this critical issue, this study presents a Kalman-filter-incorporated latent factor analysis (KLFA)-based QoS-estimator for accurate representation to temporally dynamic QoS data. Its main idea is to make the user latent features (LFs) time dependent, while the service ones time consistent. A novel iterative training scheme is designed, where the user LFs are learned through a Kalman filter for precisely modeling the temporal patterns, and the service ones are alternatively trained via an alternating least squares algorithm for precisely representing the historical QoS data. Empirical studies on large-scale and real Web service QoS datasets demonstrate that the proposed KLFA model significantly outperforms state-of-the-art QoS-estimators in estimation accuracy for dynamic QoS data.",10.1109/TCYB.2022.3185117,2022,,A KALMAN-FILTER-INCORPORATED LATENT FACTOR ANALYSIS MODEL FOR TEMPORALLY DYNAMIC SPARSE DATA,
23,21100274221,IEEE TRANSACTIONS ON CYBERNETICS,journal,21682275,"3,109",Q1,124,542,1065,18740,13312,997,"11,19","34,58",United States,Northern America,IEEE Advancing Technology for Humanity,2013-2020,Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),"24,753",11.448,0.05214,"Numerous detection problems in computer vision, including road crack detection, suffer from exceedingly foreground-background imbalance. Fortunately, modification of loss function appears to solve this puzzle once and for all. In this article, we propose a pixel-based adaptive weighted cross-entropy (WCE) loss in conjunction with Jaccard distance to facilitate high-quality pixel-level road crack detection. Our work profoundly demonstrates the influence of loss functions on detection outcomes and sheds light on the sophisticated consecutive improvements in the realm of crack detection. Specifically, to verify the effectiveness of the proposed loss, we conduct extensive experiments on four public databases, that is, CrackForest, AigleRN, Crack360, and BJN260. Compared to the vanilla WCE, the proposed loss significantly speeds up the training process while retaining the performance.",10.1109/TCYB.2021.3103885,2021,,FAST AND ACCURATE ROAD CRACK DETECTION BASED ON ADAPTIVE COST-SENSITIVE LOSS FUNCTION,
