,sourceid,title_x,type,issn,sjr,sjr best quartile,h index,total docs. (2020),total docs. (3years),total refs.,total cites (3years),citable docs. (3years),cites / doc. (2years),ref. / doc.,country,region,publisher,coverage,categories,campo_join,title_y,total cites,journal impact factor,eigenfactor score,abstract,doi,year,author,title,type_publication
10,17495,NEUROIMAGE,journal,"10959572, 10538119","3,259",Q1,364,981,2802,73619,20526,2767,"6,82","75,04",United States,Northern America,Academic Press Inc.,"1970, 1992-2020",Cognitive Neuroscience (Q1); Neurology (Q1),NEUROIMAGE,NEUROIMAGE,"119,618",6.556,0.10582,"We analyzed factors that may hamper the advancement of computational cognitive neuroscience (CCN). These factors include a particular statistical mindset, which paves the way for the dominance of statistical power theory and a preoccupation with statistical replicability in the behavioral and neural sciences. Exclusive statistical concerns about sampling error occur at the cost of an inadequate representation of the problem of measurement error. We contrasted the manipulation of data quantity (sampling error, by varying the number of subjects) against the manipulation of data quality (measurement error, by varying the number of data per subject) in a simulated Bayesian model identifiability study. The results were clear-cut in showing that - across all levels of signal-to-noise ratios - varying the number of subjects was completely inconsequential, whereas the number of data per subject exerted massive effects on model identifiability. These results emphasize data quality over data quantity, and they call for the integration of statistics and measurement theory.",https://doi.org/10.1016/j.neuroimage.2018.01.005,2018,Antonio Kolossa and Bruno Kopp,DATA QUALITY OVER DATA QUANTITY IN COMPUTATIONAL COGNITIVE NEUROSCIENCE,article
11,17495,NEUROIMAGE,journal,"10959572, 10538119","3,259",Q1,364,981,2802,73619,20526,2767,"6,82","75,04",United States,Northern America,Academic Press Inc.,"1970, 1992-2020",Cognitive Neuroscience (Q1); Neurology (Q1),NEUROIMAGE,NEUROIMAGE,"119,618",6.556,0.10582,"Brain activity is a dynamic combination of the responses to sensory inputs and its own spontaneous processing. Consequently, such brain activity is continuously changing whether or not one is focusing on an externally imposed task. Previously, we have introduced an analysis method that allows us, using Hidden Markov Models (HMM), to model task or rest brain activity as a dynamic sequence of distinct brain networks, overcoming many of the limitations posed by sliding window approaches. Here, we present an advance that enables the HMM to handle very large amounts of data, making possible the inference of very reproducible and interpretable dynamic brain networks in a range of different datasets, including task, rest, MEG and fMRI, with potentially thousands of subjects. We anticipate that the generation of large and publicly available datasets from initiatives such as the Human Connectome Project and UK Biobank, in combination with computational methods that can work at this scale, will bring a breakthrough in our understanding of brain function in both health and disease.",https://doi.org/10.1016/j.neuroimage.2017.06.077,2018,Diego Vidaurre and Romesh Abeysuriya and Robert Becker and Andrew J. Quinn and Fidel Alfaro-Almagro and Stephen M. Smith and Mark W. Woolrich,DISCOVERING DYNAMIC BRAIN NETWORKS FROM BIG DATA IN REST AND TASK,article
12,16146,TRENDS IN BIOTECHNOLOGY,journal,"01677799, 18793096","3,192",Q1,219,167,397,11206,4561,346,"11,86","67,10",United Kingdom,Western Europe,Elsevier Ltd.,1983-2020,Bioengineering (Q1); Biotechnology (Q1),TRENDS IN BIOTECHNOLOGY,TRENDS IN BIOTECHNOLOGY,"20,693",19.536,0.01817,"Batch effects (BEs) are technical biases that may confound analysis of high-throughput biotechnological data. BEs are complex and effective mitigation is highly context-dependent. In particular, the advent of high-resolution technologies such as single-cell RNA sequencing presents new challenges. We first cover how BE modeling differs between traditional datasets and the new data landscape. We also discuss new approaches for measuring and mitigating BEs, including whether a BE is significant enough to warrant correction. Even with the advent of machine learning and artificial intelligence, the increased complexity of next-generation biotechnological data means increased complexities in BE management. We forecast that BEs will not only remain relevant in the age of big data but will become even more important.",https://doi.org/10.1016/j.tibtech.2022.02.005,2022,Wilson Wen Bin Goh and Chern Han Yong and Limsoon Wong,ARE BATCH EFFECTS STILL RELEVANT IN THE AGE OF BIG DATA?,article
13,22990,JOURNAL OF RETAILING,journal,00224359,"3,184",Q1,136,66,98,4311,839,87,"4,51","65,32",United Kingdom,Western Europe,Elsevier BV,1993-2020,Marketing (Q1),JOURNAL OF RETAILING,JOURNAL OF RETAILING,"10,594",5.245,0.00458,"The paper examines the opportunities in and possibilities arising from big data in retailing, particularly along five major data dimensions—data pertaining to customers, products, time, (geo-spatial) location and channel. Much of the increase in data quality and application possibilities comes from a mix of new data sources, a smart application of statistical tools and domain knowledge combined with theoretical insights. The importance of theory in guiding any systematic search for answers to retailing questions, as well as for streamlining analysis remains undiminished, even as the role of big data and predictive analytics in retailing is set to rise in importance, aided by newer sources of data and large-scale correlational techniques. The Statistical issues discussed include a particular focus on the relevance and uses of Bayesian analysis techniques (data borrowing, updating, augmentation and hierarchical modeling), predictive analytics using big data and a field experiment, all in a retailing context. Finally, the ethical and privacy issues that may arise from the use of big data in retailing are also highlighted.",https://doi.org/10.1016/j.jretai.2016.12.004,2017,Eric T. Bradlow and Manish Gangwar and Praveen Kopalle and Sudhir Voleti,THE ROLE OF BIG DATA AND PREDICTIVE ANALYTICS IN RETAILING,article
14,18795,WATER RESEARCH,journal,"00431354, 18792448","3,099",Q1,303,1142,2603,70129,29848,2588,"11,32","61,41",United Kingdom,Western Europe,Elsevier Ltd.,1967-2020,Civil and Structural Engineering (Q1); Ecological Modeling (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1),WATER RESEARCH,WATER RESEARCH,"120,695",11.236,0.07878,"Recent advancements in data-driven process control and performance analysis could provide the wastewater treatment industry with an opportunity to reduce costs and improve operations. However, big data in wastewater treatment plants (WWTP) is widely underutilized, due in part to a workforce that lacks background knowledge of data science required to fully analyze the unique characteristics of WWTP. Wastewater treatment processes exhibit nonlinear, nonstationary, autocorrelated, and co-correlated behavior that (i) is very difficult to model using first principals and (ii) must be considered when implementing data-driven methods. This review provides an overview of data-driven methods of achieving fault detection, variable prediction, and advanced control of WWTP. We present how big data has been used in the context of WWTP, and much of the discussion can also be applied to water treatment. Due to the assumptions inherent in different data-driven modeling approaches (e.g., control charts, statistical process control, model predictive control, neural networks, transfer functions, fuzzy logic), not all methods are appropriate for every goal or every dataset. Practical guidance is given for matching a desired goal with a particular methodology along with considerations regarding the assumed data structure. References for further reading are provided, and an overall analysis framework is presented.",https://doi.org/10.1016/j.watres.2019.03.030,2019,Kathryn B. Newhart and Ryan W. Holloway and Amanda S. Hering and Tzahi Y. Cath,DATA-DRIVEN PERFORMANCE ANALYSES OF WASTEWATER TREATMENT PLANTS: A REVIEW,article
15,98982,TRANSPORT REVIEWS,journal,"01441647, 14645327","3,046",Q1,82,52,124,3838,1233,106,"9,34","73,81",United Kingdom,Western Europe,Routledge,1981-2020,Transportation (Q1),TRANSPORT REVIEWS,TRANSPORT REVIEWS,"4,598",9.643,0.00476,"ABSTRACT
The information-rich vessel movement data provided by the Automatic Identification System (AIS) has gained much popularity over the past decade, during which the employment of satellite-based receivers has enabled wide coverage and improved data quality. The application of AIS data has developed from simply navigation-oriented research to now include trade flow estimation, emission accounting, and vessel performance monitoring. The AIS now provides high frequency, real-time positioning and sailing patterns for almost the whole world's commercial fleet, and therefore, in combination with supplementary databases and analyses, AIS data has arguably kickstarted the era of digitisation in the shipping industry. In this study, we conduct a comprehensive review of the literature regarding AIS applications by dividing it into three development stages, namely, basic application, extended application, and advanced application. Each stage contains two to three application fields, and in total we identified seven application fields, including (1) AIS data mining, (2) navigation safety, (3) ship behaviour analysis, (4) environmental evaluation, (5) trade analysis, (6) ship and port performance, and (7) Arctic shipping. We found that the original application of AIS data to navigation safety has, with the improvement of data accessibility, evolved into diverse applications in various directions. Moreover, we summarised the major methodologies in the literature into four categories, these being (1) data processing and mining, (2) index measurement, (3) causality analysis, and (4) operational research. Undoubtedly, the applications of AIS data will be further expanded in the foreseeable future. This will not only provide a more comprehensive understanding of voyage performance and allow researchers to examine shipping market dynamics from the micro level, but also the abundance of AIS data may also open up the rather opaque aspect of how shipping companies release information to external authorities, including the International Maritime Organization, port states, scientists and researchers. It is expected that more multi-disciplinary AIS studies will emerge in the coming years. We believe that this study will shed further light on the future development of AIS studies.",https://doi.org/10.1080/01441647.2019.1649315,2019,Dong Yang and Lingxiao Wu and Shuaian Wang and Haiying Jia and Kevin X. Li,HOW BIG DATA ENRICHES MARITIME RESEARCH – A CRITICAL REVIEW OF AUTOMATIC IDENTIFICATION SYSTEM (AIS) DATA APPLICATIONS,article
16,28801,APPLIED ENERGY,journal,03062619,"3,035",Q1,212,1729,5329,100144,56804,5304,"10,59","57,92",United Kingdom,Western Europe,Elsevier BV,1975-2020,"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)",APPLIED ENERGY,APPLIED ENERGY,"122,712",9.746,0.15329,"Building heat demand is responsible for a significant share of the total global final energy consumption. Building stock models with a high spatio-temporal resolution are a powerful tool to investigate the effects of new building policies aimed at increasing energy efficiency, the introduction of new heating technologies or the integration of buildings within an energy system based on renewable energy sources. Therefore, building stock models have to be able to model the improvements and variation of used materials in buildings. In this paper, we propose a method based on generalized large-scale geographic information system (GIS) to model building heat demand of large regions with a high temporal resolution. In contrast to existing building stock models, our approach allows to derive the envelope of all buildings from digital elevation models and to model location dependent effects such as shadowing due to the topography and climate conditions. We integrate spatio-temporal climate data for temperature and solar radiation to model climate effects of complex terrain. The model is validated against a database containing the measured energy demand of 1845 buildings of the city of St. Gallen, Switzerland and 120 buildings of the Alpine village of Zernez, Switzerland. The proposed model is able to assess and investigate large regions by using spatial data describing natural and anthropogenic land features. The validation resulted in an average goodness of fit (R2) of 0.6.",https://doi.org/10.1016/j.apenergy.2017.10.041,2017,René Buffat and Andreas Froemelt and Niko Heeren and Martin Raubal and Stefanie Hellweg,BIG DATA GIS ANALYSIS FOR NOVEL APPROACHES IN BUILDING STOCK MODELLING,article
17,28801,APPLIED ENERGY,journal,03062619,"3,035",Q1,212,1729,5329,100144,56804,5304,"10,59","57,92",United Kingdom,Western Europe,Elsevier BV,1975-2020,"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)",APPLIED ENERGY,APPLIED ENERGY,"122,712",9.746,0.15329,"Building energy data has been used for decades to understand energy flows in buildings and plan for future energy demand. Recent market, technology and policy drivers have resulted in widespread data collection by stakeholders across the buildings industry. Consolidation of independently collected and maintained datasets presents a cost-effective opportunity to build a database of unprecedented size. Applications of the data include peer group analysis to evaluate building performance, and data-driven algorithms that use empirical data to estimate energy savings associated with building retrofits. This paper discusses technical considerations in compiling such a database using the DOE Buildings Performance Database (BPD) as a case study. We gathered data on over 750,000 residential and commercial buildings. We describe the process and challenges of mapping and cleansing data from disparate sources. We analyze the distributions of buildings in the BPD relative to the Commercial Building Energy Consumption Survey (CBECS) and Residential Energy Consumption Survey (RECS), evaluating peer groups of buildings that are well or poorly represented, and discussing how differences in the distributions of the three datasets impact use-cases of the data. Finally, we discuss the usefulness and limitations of the current dataset and the outlook for increasing its size and applications.",https://doi.org/10.1016/j.apenergy.2014.11.042,2015,Paul A. Mathew and Laurel N. Dunn and Michael D. Sohn and Andrea Mercado and Claudine Custudio and Travis Walter,BIG-DATA FOR BUILDING ENERGY PERFORMANCE: LESSONS FROM ASSEMBLING A VERY LARGE NATIONAL DATABASE OF BUILDING ENERGY USE,article
18,28801,APPLIED ENERGY,journal,03062619,"3,035",Q1,212,1729,5329,100144,56804,5304,"10,59","57,92",United Kingdom,Western Europe,Elsevier BV,1975-2020,"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)",APPLIED ENERGY,APPLIED ENERGY,"122,712",9.746,0.15329,"Battery is one of the most important and costly devices in electric vehicles (EVs). Developing an efficient battery management method is of great significance to enhancing vehicle safety and economy. Recently developed big-data and cloud platform computing technologies bring a bright perspective for efficient utilization and protection of vehicle batteries. However, a reliable data transmission network and a high-quality cloud battery dataset are indispensable to enable this benefit. This paper makes the first effort to systematically solve data quality problems in cloud-based vehicle battery monitoring and management by developing a novel integrated battery data cleaning framework. In the first stage, the outlier samples are detected by analyzing the temporal features in the battery data time series. The outlier data in the dataset can be accurately detected to avoid their impacts on battery monitoring and management. Then, the abnormal samples, including the noise polluted data and missing value, are restored by a novel future fusion data restoring model. The real electric bus operation data collected by a cloud-based battery monitoring and management platform are used to verify the performance of the developed data cleaning method. More than 93.3% of outlier samples can be detected, and the data restoring error can be limited to 2.11%, which validates the effectiveness of the developed methods. The proposed data cleaning method provides an effective data quality assessment tool in cloud-based vehicle battery management, which can further boost the practical application of the vehicle big data platform and Internet of vehicle.",https://doi.org/10.1016/j.apenergy.2022.119292,2022,Shuangqi Li and Hongwen He and Pengfei Zhao and Shuang Cheng,DATA CLEANING AND RESTORING METHOD FOR VEHICLE BATTERY BIG DATA PLATFORM,article
19,28801,APPLIED ENERGY,journal,03062619,"3,035",Q1,212,1729,5329,100144,56804,5304,"10,59","57,92",United Kingdom,Western Europe,Elsevier BV,1975-2020,"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)",APPLIED ENERGY,APPLIED ENERGY,"122,712",9.746,0.15329,"As one of the bottleneck technologies of electric vehicles (EVs), the battery hosts complex and hardly observable internal chemical reactions. Therefore, a precise mathematical model is crucial for the battery management system (BMS) to ensure the secure and stable operation of the battery in a multi-variable environment. First, a Cloud-based BMS (C-BMS) is established based on a database containing complete battery status information. Next, a data cleaning method based on machine learning is applied to the big data of batteries. Meanwhile, to improve the model stability under dynamic conditions, an F-divergence-based data distribution quality assessment method and a sampling-based data preprocess method is designed. Then, a lithium-ion battery temperature-dependent model is built based on Stacked Denoising Autoencoders- Extreme Learning Machine (SDAE-ELM) algorithm, and a new training method combined with data preprocessing is also proposed to improve the model accuracy. Finally, to improve reliability, a conjunction working mode between the C-BMS and the BMS in vehicles (V-BMS) is also proposed, providing as an applied case of the model. Using the battery data extracted from electric buses, the effectiveness and accuracy of the model are validated. The error of the estimated battery terminal voltage is within 2%, and the error of the estimated State of Charge (SoC) is within 3%.",https://doi.org/10.1016/j.apenergy.2019.03.154,2019,Shuangqi Li and Hongwen He and Jianwei Li,BIG DATA DRIVEN LITHIUM-ION BATTERY MODELING METHOD BASED ON SDAE-ELM ALGORITHM AND DATA PRE-PROCESSING TECHNOLOGY,article
20,28801,APPLIED ENERGY,journal,03062619,"3,035",Q1,212,1729,5329,100144,56804,5304,"10,59","57,92",United Kingdom,Western Europe,Elsevier BV,1975-2020,"Building and Construction (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1)",APPLIED ENERGY,APPLIED ENERGY,"122,712",9.746,0.15329,"Energy economy models are central to decision making on energy and climate issues in the 21st century, such as informing the design of deep decarbonisation strategies under the Paris Agreement. Designing policies that are aimed at achieving such radical transitions in the energy system will require ever more in-depth modelling of end-use demand, efficiency and fuel switching, as well as an increasing need for regional, sectoral, and agent disaggregation to capture technological, jurisdictional and policy detail. Building and using these models entails complex trade-offs between the level of detail, the size of the system boundary, and the available computing resources. The availability of data to characterise key energy system sectors and interactions is also a key driver of model structure and parameterisation, and there are many blind spots and design compromises that are caused by data scarcity. We may soon, however, live in a world of data abundance, potentially enabling previously impossible levels of resolution and coverage in energy economy models. But while big data concepts and platforms have already begun to be used in a number of selected energy research applications, their potential to improve or even completely revolutionise energy economy modelling has been almost completely overlooked in the existing literature. In this paper, we explore the challenges and possibilities of this emerging frontier. We identify critical gaps and opportunities for the field, as well as developing foundational concepts for guiding the future application of big data to energy economy modelling, with reference to the existing literature on decision making under uncertainty, scenario analysis and the philosophy of science.",https://doi.org/10.1016/j.apenergy.2019.02.002,2019,Francis G.N. Li and Chris Bataille and Steve Pye and Aidan O'Sullivan,"PROSPECTS FOR ENERGY ECONOMY MODELLING WITH BIG DATA: HYPE, ELIMINATING BLIND SPOTS, OR REVOLUTIONISING THE STATE OF THE ART?",article
